cnv	ratio	entropy	outcome
103.012563083555	4.2617	4.0750463047307	1
104.787979923584	4.479	4.18677624389287	1
44.2275671940954	2.4854	3.59448824125493	1
90.960709584918	3.8009	4.07150130811746	1
53.8207277444298	3.7901	3.85310761743107	1
89.2821633705127	3.7279	3.89734096700545	1
97.5570781765999	4.2271	4.06518082880665	1
69.4991741528885	4.3399	4.14802999617144	1
57.393832523924	3.2928	4.10277888144717	1
101.134737939692	3.5146	4.09848690354819	1
90.0981310732477	3.6724	4.0305969359109	1
41.0363985839634	3.8791	3.97867531289289	1
61.730028743359	3.9475	3.91867936319965	1
61.8154364227233	4.3487	4.04878687487325	1
61.410965492412	3.1699	4.07065155000554	1
17.8830811604075	2.2479	3.63090277220823	1
80.5283627638699	4.2695	3.62841742545224	1
51.7024288076534	3.3985	3.88143811341138	1
80.9915274764663	3.5749	3.89380326585981	1
32.0129275778714	3.406	4.02035742451588	1
34.1342709167645	3.1699	3.25769033979636	1
47.9974325059386	4.3923	4.08723867571253	1
64.7301604957107	3.3692	3.89546465206667	1
36.3948642386028	3.4215	3.6591956391956	1
26.4019342680821	2.5443	3.52512709187494	1
39.7719071942432	3.3626	3.88249645771799	1
60.4839766886412	3.9696	3.86379385691371	1
52.4405680717829	4.1538	3.75621232586299	1
47.1965778147648	4.0444	3.93432812310159	1
66.1831692690966	3.4883	4.12370265802043	1
67.4967316497957	2.7726	3.83457399893322	1
93.2920461427575	2.5384	3.75380840124396	1
34.3245819451592	3.5443	3.93624081258582	1
52.7480991100405	3.9608	4.10205994589025	1
53.2210129264773	3.7655	4.00302376115044	1
77.1471926455331	4.4075	4.03833938577026	1
52.6112425089923	3.8301	3.93672538013787	1
64.5417926214694	3.3861	3.92057746825581	1
70.138028879265	5.1859	3.93987372465974	1
68.439236071186	4.7814	3.98201304790724	1
25.2484999498601	3.1234	4.01414247139788	1
61.506168731054	4.01	4.04944970198126	1
113.475413320988	3.3219	3.86541976198229	1
58.7071373847197	4.4094	3.58800234318508	1
46.4578893092919	3.6386	4.01847898141669	1
43.9156717686323	3.9849	4.10820546195931	1
79.4757426036169	3.9189	3.95050753733802	1
61.8287397881041	3.5949	3.95530227404789	1
45.0079362882682	2.4263	3.68401728082985	1
52.6256434661473	3.2303	4.11525994167456	1
39.9093041679884	3.273	3.82377587565559	1
53.1353795145228	3.8679	3.82592512795155	1
51.5122291502712	3.375	3.59815132389205	1
56.1256847432892	3.5607	3.96422452666899	1
45.9757696533061	4.143	4.09072470268424	1
94.7244623744696	3.5236	3.98019639113955	1
15.0196234103458	4.2224	3.88534744193386	1
52.8131283019436	4.3322	3.91515336283304	1
89.8400351785847	3.5546	3.73510919073298	1
35.7869977182792	3.1085	3.77143645417551	1
30.7247314462347	3.4594	3.66562694254186	1
54.880641951232	3.8962	4.11321424438271	1
30.8889176822008	3.8074	3.93307263952766	1
83.1756514072495	4.9608	4.06712667269791	1
62.6432943506646	2.4374	3.80721044768025	1
52.4329875089465	3.0297	4.11992721422497	1
52.4159433461833	4.2224	4.12988227153832	1
72.7310544102956	3.7472	4.02673867407344	1
42.4939447107113	4.5999	3.90536308196668	1
49.5119820919643	4.0255	3.80407734286873	1
76.6416201794795	3.826	4.09186327257066	1
73.4563831067088	4.0492	4.07089262054436	1
49.8732509990781	3.2479	4.22998553586006	1
88.8353296429481	4.1293	4.03557505548653	1
62.2920077210434	4.4195	3.81997240885374	1
55.9576061966975	4.8679	4.04930570135444	1
58.7891550123044	3.2224	3.71861969798378	1
58.2396277169998	4.2138	4.04955140855321	1
35.8629670839306	3.511	3.63358047132056	1
69.2788169809601	4.4346	3.92525285858223	1
115.465485627179	3.8254	4.11205074139353	1
47.9729679950649	3.4757	3.85383902672874	1
44.409405086542	2.9542	3.98293627611877	1
30.986056065267	2.9594	3.72600548756152	1
71.6866057774009	3.991	4.01626789021393	1
65.0452939330149	2.858	4.14261581428409	1
81.8520750489071	4.8176	4.0589720277217	1
50.3478630076712	2.7225	3.83097298103896	1
66.9200326924336	4.2605	3.95046045350576	1
42.6586792941073	4.8908	3.89168610306435	1
55.3882395047029	3.7442	4.04835748465842	1
43.5627502754191	3.5699	3.96985504456172	1
35.5582022830995	4	3.84629421832734	1
78.1725026876582	4.2854	3.99931283010147	1
86.6270356414627	4.3291	4.08836914722689	1
67.1610949387402	2.8745	3.81746192731709	1
42.8733725059595	4.1375	3.78613697854547	1
61.4512240275995	4.433	4.1453972290012	1
42.8647513751109	3.5715	3.87171128688985	1
53.0194096249357	4.237	4.02027659955933	1
57.1105632742386	4.215	3.6977291629404	1
105.668746026277	3.7705	4.13484823744165	1
24.1740248008808	2.926	3.59009804236155	1
96.6680880951826	3.7004	4.04591658059054	1
99.7152642693171	3.2524	4.0104290079549	1
62.1823280245893	3.1538	3.58119562432191	1
85.2550009429445	4.5502	4.09714343258539	1
75.2766231380982	4.3726	4.02017255996462	1
71.6729506998653	4.8379	4.18385650773181	1
56.1839230472235	3.3379	4.05964735655022	1
38.9817453538742	3.7442	3.90788304525702	1
32.3076273691669	2.974	3.92584757678368	1
59.4026614743676	3.8679	3.95740060247667	1
45.8597317043765	3.2587	3.85407063640409	1
53.9529077041363	3.8244	3.92730867595678	1
43.8435487076977	3.5025	3.96331299668414	1
38.4741199637608	3.0969	4.07937488251629	1
28.7317367314542	3.4594	3.85655472032883	1
